"dist_geo","pixel_num_1","pixel_num_2","pixel_1_ID","pixel_2_ID","combined","summary_pairwise","ID","type","p1","p2","region1","region2","region_pair","log_dist","Gst_standard"
"36",926030.863006868,2,18,"3175","4513","3175_4513",0.0466,"Gst_3175_4513","Gst","3175",4513,"C","E","CE",13.738662842454,0.0488777008600797
"37",1185074.49988331,2,19,"3175","4821","3175_4821",0.0526,"Gst_3175_4821","Gst","3175",4821,"C","E","CE",13.985316199675,0.0555203715431708
"38",1348124.74124764,2,20,"3175","5026","3175_5026",0.0481,"Gst_3175_5026","Gst","3175",5026,"C","E","CE",14.1142251041905,0.0505305179115453
"39",1291776.37701486,2,21,"3175","5028","3175_5028",0.0336,"Gst_3175_5028","Gst","3175",5028,"C","E","CE",14.0715288655383,0.0347682119205298
"40",212299.831200944,3,4,"3176","3277","3176_3277",0.0556,"Gst_3176_3277","Gst","3176",3277,"C","C","C",12.2657548525942,0.0588733587462939
"41",140067.687380162,3,5,"3176","3279","3176_3279",0.0591,"Gst_3176_3279","Gst","3176",3279,"C","C","C",11.8498810660389,0.0628122010840684
"42",56501.9435538311,3,6,"3176","3283","3176_3283",0.0558,"Gst_3176_3283","Gst","3176",3283,"C","C","C",10.9420303157257,0.0590976488032197
"43",138411.326251455,3,7,"3176","3383","3176_3383",0.0679,"Gst_3176_3383","Gst","3176",3383,"C","C","C",11.8379851558942,0.07284626113078
"44",198370.063535458,3,8,"3176","3487","3176_3487",0.0491,"Gst_3176_3487","Gst","3176",3487,"C","C","C",12.1978895730097,0.0516352928804291
"45",276870.896836386,3,9,"3176","3590","3176_3590",0.0615,"Gst_3176_3590","Gst","3176",3590,"C","C","C",12.5313066001192,0.0655301012253596
"46",333941.288613386,3,10,"3176","3691","3176_3691",0.0585,"Gst_3176_3691","Gst","3176",3691,"C","C","C",12.7187204739126,0.0621348911311737
"47",367463.934121196,3,11,"3176","3692","3176_3692",0.0455,"Gst_3176_3692","Gst","3176",3692,"C","C","C",12.8143804543734,0.0476689366160293
"48",550734.986416321,3,12,"3176","3896","3176_3896",0.0539,"Gst_3176_3896","Gst","3176",3896,"C","M","MC",13.2190090040412,0.0569707219110031
"49",532638.25623085,3,13,"3176","3897","3176_3897",0.0583,"Gst_3176_3897","Gst","3176",3897,"C","M","MC",13.1855977789804,0.0619093129446745
"50",586723.404625739,3,14,"3176","3898","3176_3898",0.068,"Gst_3176_3898","Gst","3176",3898,"C","M","MC",13.2823087861001,0.0729613733905579
"51",868246.359399464,3,15,"3176","4202","3176_4202",0.0579,"Gst_3176_4202","Gst","3176",4202,"C","E","CE",13.674230777565,0.0614584439019212
"52",967391.741637882,3,16,"3176","4409","3176_4409",0.0383,"Gst_3176_4409","Gst","3176",4409,"C","E","CE",13.7823588026774,0.0398253093480295
"53",939967.80116239,3,17,"3176","4410","3176_4410",0.0562,"Gst_3176_4410","Gst","3176",4410,"C","E","CE",13.7536008995769,0.0595465140919686
"54",1023102.09306361,3,18,"3176","4513","3176_4513",0.0544,"Gst_3176_4513","Gst","3176",4513,"C","E","CE",13.8383498376704,0.0575296108291032
"55",1280087.00472425,3,19,"3176","4821","3176_4821",0.0637,"Gst_3176_4821","Gst","3176",4821,"C","E","CE",14.0624386060266,0.0680337498664958
"56",1446729.90717535,3,20,"3176","5026","3176_5026",0.0546,"Gst_3176_5026","Gst","3176",5026,"C","E","CE",14.1848163310904,0.0577533319229956
"57",1387318.01173121,3,21,"3176","5028","3176_5028",0.0359,"Gst_3176_5028","Gst","3176",5028,"C","E","CE",14.1428829532839,0.0372368011617052
"58",75496.0988737455,4,5,"3277","3279","3277_3279",0.0289,"Gst_3277_3279","Gst","3277",3279,"C","C","C",11.2318362633557,0.0297600659046442
"59",192916.156064329,4,6,"3277","3283","3277_3283",0.0308,"Gst_3277_3283","Gst","3277",3283,"C","C","C",12.1700109489602,0.0317787866281469
"60",135279.831303614,4,7,"3277","3383","3277_3383",0.0365,"Gst_3277_3383","Gst","3277",3383,"C","C","C",11.8151007365552,0.0378827192527244
"61",126226.540281193,4,8,"3277","3487","3277_3487",0.0454,"Gst_3277_3487","Gst","3277",3487,"C","C","C",11.7458335103161,0.0475591870940708
"62",183225.768771834,4,9,"3277","3590","3277_3590",0.0367,"Gst_3277_3590","Gst","3277",3590,"C","C","C",12.1184743805655,0.0380982040901069
"63",198732.902827716,4,10,"3277","3691","3277_3691",0.0493,"Gst_3277_3691","Gst","3277",3691,"C","C","C",12.199717005308,0.0518565267697486
"64",227049.251727076,4,11,"3277","3692","3277_3692",0.0244,"Gst_3277_3692","Gst","3277",3692,"C","C","C",12.3329222408901,0.025010250102501
"65",371209.366618062,4,12,"3277","3896","3277_3896",0.0345,"Gst_3277_3896","Gst","3277",3896,"C","M","MC",12.8245215129219,0.0357327809425168
"66",369933.981825588,4,13,"3277","3897","3277_3897",0.0482,"Gst_3277_3897","Gst","3277",3897,"C","M","MC",12.8210798412019,0.0506408909434755
"67",411648.649969072,4,14,"3277","3898","3277_3898",0.0547,"Gst_3277_3898","Gst","3277",3898,"C","M","MC",12.9279254731611,0.0578652279699566
"68",679024.613890918,4,15,"3277","4202","3277_4202",0.0352,"Gst_3277_4202","Gst","3277",4202,"C","E","CE",13.4284126560913,0.0364842454394693
"69",782372.497666282,4,16,"3277","4409","3277_4409",0.0442,"Gst_3277_4409","Gst","3277",4409,"C","E","CE",13.5700862458404,0.0462439840970914
"70",755125.697837742,4,17,"3277","4410","3277_4410",0.0486,"Gst_3277_4410","Gst","3277",4410,"C","E","CE",13.534639501576,0.0510826150935463
"71",838336.038585024,4,18,"3277","4513","3277_4513",0.0472,"Gst_3277_4513","Gst","3277",4513,"C","E","CE",13.639174299783,0.0495382031905961
"72",1097856.68979882,4,19,"3277","4821","3277_4821",0.0471,"Gst_3277_4821","Gst","3277",4821,"C","E","CE",13.9088703732243,0.04942806170637
"73",1259293.60200366,4,20,"3277","5026","3277_5026",0.0485,"Gst_3277_5026","Gst","3277",5026,"C","E","CE",14.0460614883836,0.0509721492380452
"74",1204213.384317,4,21,"3277","5028","3277_5028",0.0339,"Gst_3277_5028","Gst","3277",5028,"C","E","CE",14.0013371186468,0.0350895352447987
"75",117458.875330235,5,6,"3279","3283","3279_3283",0.025,"Gst_3279_3283","Gst","3279",3283,"C","C","C",11.6738435541136,0.0256410256410256
"76",75144.2699994572,5,7,"3279","3383","3279_3383",0.0281,"Gst_3279_3383","Gst","3279",3383,"C","C","C",11.2271651447619,0.0289124395513942
"77",100199.175483875,5,8,"3279","3487","3279_3487",0.0376,"Gst_3279_3487","Gst","3279",3487,"C","C","C",11.5149152388952,0.0390689941812136
"78",179072.456291155,5,9,"3279","3590","3279_3590",0.031,"Gst_3279_3590","Gst","3279",3590,"C","C","C",12.0955457866695,0.0319917440660475
"79",218647.136557808,5,10,"3279","3691","3279_3691",0.0467,"Gst_3279_3691","Gst","3279",3691,"C","C","C",12.2952144607471,0.0489877268435959
"80",251224.024169617,5,11,"3279","3692","3279_3692",0.0231,"Gst_3279_3692","Gst","3279",3692,"C","C","C",12.4341003466211,0.0236462278636503
"81",420237.100530401,5,12,"3279","3896","3279_3896",0.0329,"Gst_3279_3896","Gst","3279",3896,"C","M","MC",12.9485743560476,0.0340192327577293
"82",409512.669801474,5,13,"3279","3897","3279_3897",0.044,"Gst_3279_3897","Gst","3279",3897,"C","M","MC",12.9227231214828,0.0460251046025105
"83",458440.160313606,5,14,"3279","3898","3279_3898",0.0502,"Gst_3279_3898","Gst","3279",3898,"C","M","MC",13.0355850503043,0.052853232259423
"84",734859.205869945,5,15,"3279","4202","3279_4202",0.0311,"Gst_3279_4202","Gst","3279",4202,"C","E","CE",13.5074342032061,0.0320982557539478
"85",836041.214496782,5,16,"3279","4409","3279_4409",0.0415,"Gst_3279_4409","Gst","3279",4409,"C","E","CE",13.636433190489,0.0432968179447053
"86",808646.564067307,5,17,"3279","4410","3279_4410",0.0416,"Gst_3279_4410","Gst","3279",4410,"C","E","CE",13.6031172205651,0.0434056761268781
"87",891960.865186253,5,18,"3279","4513","3279_4513",0.0385,"Gst_3279_4513","Gst","3279",4513,"C","E","CE",13.7011775374901,0.0400416016640666
"88",1150465.17223546,5,19,"3279","4821","3279_4821",0.04,"Gst_3279_4821","Gst","3279",4821,"C","E","CE",13.9556769161484,0.0416666666666667
"89",1314805.58411786,5,20,"3279","5026","3279_5026",0.0388,"Gst_3279_5026","Gst","3279",5026,"C","E","CE",14.0891993678866,0.0403662089055347
"90",1257382.96139653,5,21,"3279","5028","3279_5028",0.0268,"Gst_3279_5028","Gst","3279",5028,"C","E","CE",14.0445431041764,0.0275380189066995
"91",89771.611408199,6,7,"3283","3383","3283_3383",0.0306,"Gst_3283_3383","Gst","3283",3383,"C","C","C",11.4050240729984,0.0315659170621003
"92",150221.651151759,6,8,"3283","3487","3283_3487",0.0308,"Gst_3283_3487","Gst","3283",3487,"C","C","C",11.919867156737,0.0317787866281469
"93",225102.541214432,6,9,"3283","3590","3283_3590",0.032,"Gst_3283_3590","Gst","3283",3590,"C","C","C",12.3243113161,0.0330578512396694
"94",285421.913701801,6,10,"3283","3691","3283_3691",0.038,"Gst_3283_3691","Gst","3283",3691,"C","C","C",12.5617237634942,0.0395010395010395
"95",318708.148018398,6,11,"3283","3692","3283_3692",0.022,"Gst_3283_3692","Gst","3283",3692,"C","C","C",12.6720310664997,0.0224948875255624
"96",506622.461215161,6,12,"3283","3896","3283_3896",0.0253,"Gst_3283_3896","Gst","3283",3896,"C","M","MC",13.1355213527464,0.0259567046270647
"97",484874.941218131,6,13,"3283","3897","3283_3897",0.041,"Gst_3283_3897","Gst","3283",3897,"C","M","MC",13.0916462835113,0.0427528675703858
"98",541116.329089752,6,14,"3283","3898","3283_3898",0.0424,"Gst_3283_3898","Gst","3283",3898,"C","M","MC",13.2013895607577,0.0442773600668337
"99",825083.06162051,6,15,"3283","4202","3283_4202",0.0276,"Gst_3283_4202","Gst","3283",4202,"C","E","CE",13.623239341001,0.0283833813245578
"100",922546.443179545,6,16,"3283","4409","3283_4409",0.035,"Gst_3283_4409","Gst","3283",4409,"C","E","CE",13.7348929985396,0.0362694300518135
"101",895149.700143408,6,17,"3283","4410","3283_4410",0.0335,"Gst_3283_4410","Gst","3283",4410,"C","E","CE",13.7047462460002,0.0346611484738748
"102",978030.175984657,6,18,"3283","4513","3283_4513",0.0303,"Gst_3283_4513","Gst","3283",4513,"C","E","CE",13.793295803331,0.0312467773538208
"103",1233770.05867628,6,19,"3283","4821","3283_4821",0.033,"Gst_3283_4821","Gst","3283",4821,"C","E","CE",14.0255851278966,0.0341261633919338
"104",1401760.14745626,6,20,"3283","5026","3283_5026",0.0382,"Gst_3283_5026","Gst","3283",5026,"C","E","CE",14.1532392530938,0.0397171969224371
"105",1341098.18738193,6,21,"3283","5028","3283_5028",0.021,"Gst_3283_5028","Gst","3283",5028,"C","E","CE",14.1089993791076,0.0214504596527068
"106",60584.563811178,7,8,"3383","3487","3383_3487",0.0393,"Gst_3383_3487","Gst","3383",3487,"C","C","C",11.0117954170223,0.0409076714895389
"107",138794.636117574,7,9,"3383","3590","3383_3590",0.0356,"Gst_3383_3590","Gst","3383",3590,"C","C","C",11.840750681622,0.0369141435089175
"108",196184.124365982,7,10,"3383","3691","3383_3691",0.0508,"Gst_3383_3691","Gst","3383",3691,"C","C","C",12.1868089072737,0.0535187526337969
"109",229612.588707451,7,11,"3383","3692","3383_3692",0.0283,"Gst_3383_3692","Gst","3383",3692,"C","C","C",12.3441487707897,0.0291242152927858
"110",416906.276224462,7,12,"3383","3896","3383_3896",0.0355,"Gst_3383_3896","Gst","3383",3896,"C","M","MC",12.9406167182638,0.0368066355624676
"111",395484.103371987,7,13,"3383","3897","3383_3897",0.0447,"Gst_3383_3897","Gst","3383",3897,"C","M","MC",12.8878658716323,0.0467915837956663
"112",451357.755910852,7,14,"3383","3898","3383_3898",0.0585,"Gst_3383_3898","Gst","3383",3898,"C","M","MC",13.0200155543847,0.0621348911311737
"113",735417.820313869,7,15,"3383","4202","3383_4202",0.0349,"Gst_3383_4202","Gst","3383",4202,"C","E","CE",13.5081940796931,0.0361620557455186
"114",832776.035473807,7,16,"3383","4409","3383_4409",0.0403,"Gst_3383_4409","Gst","3383",4409,"C","E","CE",13.6325200200209,0.0419922892570595
"115",805378.717326935,7,17,"3383","4410","3383_4410",0.047,"Gst_3383_4410","Gst","3383",4410,"C","E","CE",13.5990679020776,0.0493179433368311
"116",888266.573607226,7,18,"3383","4513","3383_4513",0.0392,"Gst_3383_4513","Gst","3383",4513,"C","E","CE",13.6970271724283,0.0407993338884263
"117",1144141.89383115,7,19,"3383","4821","3383_4821",0.0503,"Gst_3383_4821","Gst","3383",4821,"C","E","CE",13.9501654762996,0.0529640939243972
"118",1311999.20193968,7,20,"3383","5026","3383_5026",0.0444,"Gst_3383_5026","Gst","3383",5026,"C","E","CE",14.0870626402083,0.0464629552113855
"119",1251458.84473355,7,21,"3383","5028","3383_5028",0.0254,"Gst_3383_5028","Gst","3383",5028,"C","E","CE",14.0398205045618,0.0260619741432382
"120",82033.2106143365,8,9,"3487","3590","3487_3590",0.0433,"Gst_3487_3590","Gst","3487",3590,"C","C","C",11.3148794517449,0.0452597470471412
"121",135689.989603939,8,10,"3487","3691","3487_3691",0.0404,"Gst_3487_3691","Gst","3487",3691,"C","C","C",11.8181280745237,0.0421008753647353
"122",169168.88365405,8,11,"3487","3692","3487_3692",0.0354,"Gst_3487_3692","Gst","3487",3692,"C","C","C",12.0386528064882,0.0366991499066971
"123",356874.096608463,8,12,"3487","3896","3487_3896",0.0341,"Gst_3487_3896","Gst","3487",3896,"C","M","MC",12.7851383279944,0.0353038616834041
"124",334908.449656947,8,13,"3487","3897","3487_3897",0.0373,"Gst_3487_3897","Gst","3487",3897,"C","M","MC",12.721612488852,0.0387451958034694
"125",390932.906960852,8,14,"3487","3898","3487_3898",0.0436,"Gst_3487_3898","Gst","3487",3898,"C","M","MC",12.8762912307932,0.0455876202425763
"126",675458.649957535,8,15,"3487","4202","3487_4202",0.0361,"Gst_3487_4202","Gst","3487",4202,"C","E","CE",13.4231472205303,0.0374520178441747
"127",772404.521724425,8,16,"3487","4409","3487_4409",0.0241,"Gst_3487_4409","Gst","3487",4409,"C","E","CE",13.5572636836421,0.0246951531919254
"128",745015.800251193,8,17,"3487","4410","3487_4410",0.0325,"Gst_3487_4410","Gst","3487",4410,"C","E","CE",13.5211607055277,0.0335917312661499
"129",827851.483656813,8,18,"3487","4513","3487_4513",0.034,"Gst_3487_4513","Gst","3487",4513,"C","E","CE",13.6265890497149,0.0351966873706004
"130",1083581.60839368,8,19,"3487","4821","3487_4821",0.0312,"Gst_3487_4821","Gst","3487",4821,"C","E","CE",13.8957824163596,0.032204789430223
"131",1251571.51736948,8,20,"3487","5026","3487_5026",0.0371,"Gst_3487_5026","Gst","3487",5026,"C","E","CE",14.0399105335424,0.0385294423096895
"132",1190903.04653387,8,21,"3487","5028","3487_5028",0.0256,"Gst_3487_5028","Gst","3487",5028,"C","E","CE",13.9902224399306,0.0262725779967159
"133",68335.7304507989,9,10,"3590","3691","3590_3691",0.0466,"Gst_3590_3691","Gst","3590",3691,"C","C","C",11.1321880486049,0.0488777008600797
"134",98374.2215100835,9,11,"3590","3692","3590_3692",0.0303,"Gst_3590_3692","Gst","3590",3692,"C","C","C",11.496534072195,0.0312467773538208
"135",293745.424799912,9,12,"3590","3896","3590_3896",0.0327,"Gst_3590_3896","Gst","3590",3896,"C","M","MC",12.59046876917,0.0338054378166029
"136",263509.142690587,9,13,"3590","3897","3590_3897",0.0463,"Gst_3590_3897","Gst","3590",3897,"C","M","MC",12.4818433434796,0.0485477613505295
"137",323721.361839945,9,14,"3590","3898","3590_3898",0.0573,"Gst_3590_3898","Gst","3590",3898,"C","M","MC",12.687638430446,0.0607828577490188
"138",610530.882594747,9,15,"3590","4202","3590_4202",0.0376,"Gst_3590_4202","Gst","3590",4202,"C","E","CE",13.3220841569943,0.0390689941812136
"139",704085.084778142,9,16,"3590","4409","3590_4409",0.0466,"Gst_3590_4409","Gst","3590",4409,"C","E","CE",13.4646544868972,0.0488777008600797
"140",676839.448390375,9,17,"3590","4410","3590_4410",0.0466,"Gst_3590_4410","Gst","3590",4410,"C","E","CE",13.4251893722044,0.0488777008600797
"141",758983.662726137,9,18,"3590","4513","3590_4513",0.0387,"Gst_3590_4513","Gst","3590",4513,"C","E","CE",13.5397355314111,0.040257983980027
