Well,Sample_Name,Target_Name,Task,Reporter,Quencher,CT
A1,cpCRR02,YLS8,UNKNOWN,SYBR,None,20.64175797
A2,cpCRR02,YLS8,UNKNOWN,SYBR,None,20.60526848
A3,cpCRR02,YLS8,UNKNOWN,SYBR,None,20.38881111
A4,cpCRR02,15-16,UNKNOWN,SYBR,None,12.73710346
A5,cpCRR02,15-16,UNKNOWN,SYBR,None,12.61706543
A6,cpCRR02,15-16,UNKNOWN,SYBR,None,12.48163605
A7,gCRR02,YLS8,UNKNOWN,SYBR,None,17.70515633
A8,gCRR02,YLS8,UNKNOWN,SYBR,None,17.65662956
A9,gCRR02,YLS8,UNKNOWN,SYBR,None,17.53471184
A10,gCRR02,15-16,UNKNOWN,SYBR,None,11.99818802
A11,gCRR02,15-16,UNKNOWN,SYBR,None,11.98938084
A12,gCRR02,15-16,UNKNOWN,SYBR,None,11.85691833
C1,cpKOS03,YLS8,UNKNOWN,SYBR,None,18.6209259
C2,cpKOS03,YLS8,UNKNOWN,SYBR,None,18.59639549
C3,cpKOS03,YLS8,UNKNOWN,SYBR,None,18.61258125
C4,cpKOS03,15-16,UNKNOWN,SYBR,None,11.01824474
C5,cpKOS03,15-16,UNKNOWN,SYBR,None,11.06080055
C6,cpKOS03,15-16,UNKNOWN,SYBR,None,11.03310585
C7,gKOS03,YLS8,UNKNOWN,SYBR,None,20.18144035
C8,gKOS03,YLS8,UNKNOWN,SYBR,None,17.32262039
C9,gKOS03,YLS8,UNKNOWN,SYBR,None,17.23544884
C10,gKOS03,15-16,UNKNOWN,SYBR,None,13.9501152
C11,gKOS03,15-16,UNKNOWN,SYBR,None,11.58110905
C12,gKOS03,15-16,UNKNOWN,SYBR,None,11.90841866
E1,,YLS8,NTC,SYBR,None,33.5355072
E2,,YLS8,NTC,SYBR,None,37.18352127
E3,,YLS8,NTC,SYBR,None,32.79780197
E4,,15-16,NTC,SYBR,None,Undetermined
E5,,15-16,NTC,SYBR,None,Undetermined
E6,,15-16,NTC,SYBR,None,Undetermined
