Well,Sample_Name,Target_Name,Task,Reporter,Quencher,CT
A1,MMF35,YLS8,UNKNOWN,SYBR,None,25.85939598
A2,MMF35,YLS8,UNKNOWN,SYBR,None,25.81332397
A4,MMF35,15-16,UNKNOWN,SYBR,None,15.86385918
A5,MMF35,15-16,UNKNOWN,SYBR,None,15.89599991
A7,MMF35,YLS8,UNKNOWN,SYBR,None,25.64330864
A8,MMF35,YLS8,UNKNOWN,SYBR,None,25.5820694
A10,MMF35,15-16,UNKNOWN,SYBR,None,15.80050278
A11,MMF35,15-16,UNKNOWN,SYBR,None,15.83913231
